NR or E-UTRA Band / Channel bandwidth / NRB / MSD,,,,,,,,
EN-DC Configuration,EUTRA / NR band,UL Fc (MHz),UL/DL BW (MHz),ULLCRB,DL Fc (MHz),MSD (dB),IMD order,
,n77,3350,10,50,3350,N/A,N/A,
DC_7A_n71A-n77A,7,2505,5,25,2625,N/A,N/A,
,n71,666,5,25,620,N/A,N/A,
,n77,N/A,10,N/A,3837,16.0,IMD3,
DC_7A-71A_n78ADC_7A-71A_n78(2A),7,N/A,5,N/A,2670,29.6,IMD2,
,71,680,5,25,634,N/A,N/A,
,n78,3350,10,50,3350,N/A,N/A,
,7,2540,5,25,2660,N/A,N/A,
,71,N/A,5,N/A,640,3.0,IMD5,
,n78,3490,10,50,3490,N/A,N/A,
DC_7A_n71A-n78A,7,2550,5,25,2670,N/A,N/A,
,n71,693,5,25,647,N/A,N/A,
,n78,N/A,10,N/A,3714,9.7,IMD4,
,7,2555,5,25,2675,N/A,N/A,
,n78,3520,10,50,3520,N/A,N/A,
,n71,N/A,5,N/A,625,3.9,IMD5,
DC_7A_n75A-n78A,n78,3560.5,10,50,3560.5,N/A,N/A,
,7,2517.5,5,25,2637.5,N/A,N/A,
,n75,N/A,5,N/A,1474.5,17.6,IMD3,
,n78,3311,10,50,3311,N/A,N/A,
,7,2565,5,25,2685,N/A,N/A,
,n75,N/A,5,N/A,1492,4.9,IMD4,
DC_7A_n78A-n79ADC_7A_n78A-n79CDC_7A-7A_n78A-n79A,7,2520,5,25,2640,N/A,N/A,
,n78,3600,10,50,3600,N/A,N/A,
,n79,N/A,10,N/A,4680,20.6,"IMD34,9,13",
,7,2565,5,25,2685,N/A,N/A,
,n78,N/A,10,N/A,3770,6.4,IMD413,
,n79,4450,10,50,4450,N/A,N/A,
DC_7A_SUL_n78A-n80A,n80,1730,5,25,,N/A,N/A,
,7,N/A,10,N/A,2655,13,IMD4,
DC_7_n78-n105,7,2520,5,25,2640,N/A,N/A,
,n78,N/A,10,N/A,3700,9.7,IMD4,
,n105,670,5,25,619,N/A,N/A,
,7,2555,5,25,2675,N/A,N/A,
,n78,3520,10,50,3520,N/A,N/A,
,n105,N/A,5,N/A,625,3.9,IMD5,
DC_8A_n1A-n28A,8,910,5,25,955,N/A,N/A,
,n1,1965,5,25,2155,N/A,N/A,
,n28,N/A,5,N/A,765,11.6,IMD4,
DC_8A_n1A-n40A,8,885,5,25,930,N/A,N/A,
,n40,2395,10,50,2395,N/A,N/A,
,n1,N/A,5,N/A,2135,3.3,IMD5,
DC_8A_n1A-n77ADC_8B_n1A-n77A,8,900,5,25,945,N/A,N/A,
,n1,1945,5,25,2135,N/A,N/A,
,n77,N/A,10,N/A,3745,14.9,IMD31,
,8,910,5,25,955,N/A,N/A,
,n77,3960,10,50,3960,N/A,N/A,
,n1,N/A,5,N/A,2140,14.4,IMD3,
DC_8A_n1A-n78ADC_8B_n1A-n78A,8,900,5,25,945,N/A,N/A,
,n1,1945,5,25,2135,N/A,N/A,
,n78,N/A,10,N/A,3745,14.9,IMD3,
DC_8A_n1A-n79A,8,900,5,25,945,N/A,N/A,
,n1,1955,5,25,2145,8.2,IMD4,
,n79,4845,40,216,4845,N/A,N/A,
DC_8A-(n)3AA,8,897.5,5,25,942.5,N/A,N/A,
DC_8A-(n)3CA,3,N/A,5,N/A,1835,4.5,IMD5,
,n3,1747.5,10,50,1842.5,6.4,IMD5,
DC_8A_n3A-n28A,8,912.5,5,25,957.5,N/A,N/A,
,n3,1712.5,5,25,1807.5,N/A,N/A,
,n28,N/A,5,N/A,800,30.4,IMD2,
DC_8A_n3A-n77ADC_8A_n3A-n77(2A),8,900,5,25,945,N/A,N/A,
DC_8B_n3A-n77A,n3,1740,5,25,1835,N/A,N/A,
,n77,N/A,10,N/A,3540,16.3,IMD3,
,8,910,5,25,955,N/A,N/A,
,n77,3640,10,50,3640,N/A,N/A,
,n3,N/A,5,N/A,1820,16.5,IMD3,
DC_8A_n3A-n78A,8,910,5,25,955,N/A,N/A,
DC_8A_n3A-n78(2A),n3,1730,5,25,1825,N/A,N/A,
,n78,N/A,10,N/A,3550,16.1,IMD34,
,8,910,5,25,955,N/A,N/A,
,n3,N/A,5,N/A,1820,15.7,IMD3,
,n78,3640,10,50,3640,N/A,N/A,
DC_8A_n3A-n79A,8,885,5,25,930,N/A,N/A,
,n3,1770,5,25,1865,N/A,N/A,
,n79,N/A,40,N/A,4425,15.7,IMD39,
,8,910,5,25,955,N/A,N/A,
,n79,4580,40,216,4580,N/A,N/A,
,n3,N/A,5,N/A,1850,8.8,IMD4,
DC_8A_n7A-n78A,8,900,5,25,945,N/A,N/A,
,n7,2555,5,25,2675,N/A,N/A,
,n78,N/A,10,N/A,3455,28.5,IMD21,
,8,895,5,25,940,N/A,N/A,
,n7,N/A,5,N/A,2650,28,IMD2,
,n78,3545,10,50,3545,N/A,N/A,
DC_8A-11A_n1A,11,1435,5,25,1483,N/A,N/A,
DC_8B-11A_n1A,n1,1940,5,25,2130,N/A,N/A,
,8,N/A,5,N/A,930,16.6,IMD35,
DC_8A-11A_n77A,8,910,5,25,955,N/A,N/A,
DC_8A-11A_n77(2A)DC_8B-11A_n77ADC_8B-11A_n77(2A),n77,3311,10,50,3311,N/A,N/A,
,11,N/A,5,N/A,1491,18.8,IMD3,
,11,1430.5,5,25,1478.5,N/A,N/A,
,n77,3791,10,50,3791,N/A,N/A,
,8,N/A,5,N/A,930,18.2,IMD3,
DC_8A-11A_n78A,8,910,5,25,955,N/A,N/A,
,n78,3311,10,50,3311,N/A,N/A,
,11,N/A,5,N/A,1491,18.8,IMD3,
,11,1430.5,5,25,1478.5,N/A,N/A,
,n78,3791,10,50,3791,N/A,N/A,
,8,N/A,5,N/A,930,18.2,IMD3,
DC_8A-11A_n79A,8,882.5,5,25,927.5,N/A,N/A,
,n79,4980,40,216,4980,N/A,N/A,
,11,N/A,5,N/A,1478.4,1.2,IMD5,
,11,1435,5,25,1483,N/A,N/A,
,n79,4810,40,216,4810,N/A,N/A,
,8,N/A,5,N/A,930,2.8,IMD5,
DC_8-20_n1,n1,1925,5,25,2115,N/A,N/A,
,8,910,5,25,955,N/A,N/A,
,20,N/A,5,N/A,805,11.5,IMD4,
DC_8-20_n3,n3,1720,5,25,1815,N/A,N/A,
,8,910,5,25,955,N/A,N/A,
,20,N/A,5,N/A,810,27,IMD24,
,n3,1770,5,25,1865,N/A,N/A,
,8,890,5,25,930,27,IMD24,
,20,840,5,25,799,N/A,N/A,
DC_8A-20A_n28A,8,N/A,5,N/A,946,[23.5],IMD3,
,20,837,5,25,796,N/A,N/A,
,n28,728,5,25,773,N/A,N/A,
DC_8A-20A_n78A,8,890,5,25,935,N/A,N/A,
,n78,3470,10,50,3470,N/A,N/A,
,20,N/A,5,N/A,800,12.1,IMD4,
,8,N/A,5,N/A,940,12.1,IMD4,
,n78,3481,10,50,3481,N/A,N/A,
,20,847,5,25,806,N/A,N/A,
DC_8A-28A_n1A,8,910,5,25,955,N/A,N/A,
,28,N/A,5,N/A,780,9.4,IMD4,
,n1,1950,5,25,2140,N/A,N/A,
,8,N/A,5,N/A,942,3.3,IMD5,
,28,723,5,25,778,N/A,N/A,
,n1,1950,5,25,2140,N/A,N/A,
DC_8A-28A_n3A,8,912.5,5,25,957.5,N/A,N/A,
,28,N/A,5,N/A,800,30.4,IMD24,
,n3,1712.5,5,25,1807.5,N/A,N/A,
DC_8A-28A_n40A,8,N/A,5,N/A,928,17.0,IMD3,
DC_8A-28C_n40A,28,706,5,25,761,N/A,N/A,
,n40,2340,10,50,2340,N/A,N/A,
DC_8A-28A_n77ADC_8A-28A_n77(2A)DC_8A-28C_n77ADC_8A-28C_n77(2A),8,910,5,25,955,N/A,N/A,
,28,N/A,5,N/A,765,11.6,IMD4,
,n77,3495,10,50,3495,N/A,N/A,
,8,N/A,5,N/A,935,4.3,IMD5,
,28,713,5,25,768,N/A,N/A,
,n77,3787,10,50,3787,N/A,N/A,
DC_8A_n28A-n77A,8,910,5,25,955,N/A,N/A,
,n28,743,5,25,798,N/A,N/A,
,n77,N/A,10,N/A,3473,10.3,IMD4,
,8,910,5,25,955,N/A,N/A,
,n28,N/A,5,N/A,765,11.6,IMD4,
,n77,3495,10,50,3495,N/A,N/A,
DC_8A_n28A-n78A,8,910,5,25,955,N/A,N/A,
DC_8A_n28A-n78(2A),n28,725,5,25,780,N/A,N/A,
,n78,N/A,10,N/A,3455,10.3,IMD4,
,8,910,5,25,955,N/A,N/A,
,n28,N/A,5,N/A,765,11.6,IMD4,
,n78,3495,10,50,3495,N/A,N/A,
DC_8A_n28A-n79A,8,912.5,5,25,957.5,N/A,N/A,
,n28,745.5,5,25,800.5,N/A,N/A,
,n79,N/A,40,N/A,4420,0.0,IMD5,
,8,905,5,25,950,N/A,N/A,
,n79,4420,40,216,4420,N/A,N/A,
,n28,N/A,5,N/A,800,3.9,IMD5,
DC_8A-32A_n78A,8,910,5,25,955,N/A,N/A,
,n78,3311,10,50,3311,N/A,N/A,
,32,N/A,5,N/A,1491,18.8,IMD3,
DC_8A-38A_n28A,8,912.5,5,25,957.5,N/A,N/A,
,38,N/A,10,N/A,2575,14.4,IMD3,
,n28,745.5,5,25,800.5,N/A,N/A,
DC_8A-38A_n78A,8,897.5,5,25,942.5,N/A,N/A,
,38,N/A,5,N/A,2602.5,28,IMD2,
,n78,3500,10,50,3500,N/A,N/A,
,8,N/A,5,N/A,927.5,29,IMD2,
,38,2572.5,5,25,2572.5,N/A,N/A,
,n78,3500,10,50,3500,N/A,N/A,
,8,N/A,5,N/A,937.5,3.1,IMD5,
,38,2572.5,5,25,N/A,N/A,N/A,
,n78,3390,10,50,N/A,N/A,N/A,
DC_8A-39A_n40A,8,895,5,25,940,8.6,IMD4,
,39,1900,5,25,1900,N/A,N/A,
,n40,2370,10,50,2370,N/A,N/A,
,8,885,5,25,930,4.9,IMD5,
,39,1890,5,25,1890,N/A,N/A,
,n40,2370,10,50,2370,N/A,N/A,
DC_8-39_n79,8,897.5,5,25,942.5,N/A,N/A,
,39,N/A,5,N/A,1907.5,13.8,IMD4,
,n79,4600,40,216,4600,N/A,N/A,
,8,895,5,25,940,15.1,IMD3,
,39,1900,10,50,1900,N/A,N/A,
,n79,4740,40,216,4740,N/A,N/A,
,8,N/A,5,N/A,940,7.1,IMD4,
,39,1900,5,25,1900,N/A,N/A,
,n79,4760,40,216,4760,N/A,N/A,
DC_8A_n39A-n79A,8,900,5,25,945,N/A,N/A,
,n39,1890,10,50,1890,N/A,N/A,
,n79,N/A,40,N/A,4680,15.9,IMD3,
,8,890,5,25,935,N/A,N/A,
,n39,1890,10,50,1890,N/A,N/A,
,n79,N/A,40,N/A,4560,12.1,IMD4,
,8,897.5,5,25,942.5,N/A,N/A,
,n39,N/A,10,N/A,1907.5,13.8,IMD4,
,n79,4600,40,216,4600,N/A,N/A,
DC_8A-40A_n1ADC_8A-40C_n1A,8,N/A,5,N/A,930,8.0,IMD4,
,40,2395,5,25,2395,N/A,N/A,
,n1,1930,5,25,2120,N/A,N/A,
DC_8A-40A_n28A,8,895,5,25,940,N/A,N/A,
,40,N/A,5,N/A,2335,18.8,IMD3,
,n28,720,5,25,775,N/A,N/A,
,8,N/A,5,N/A,928,17.0,IMD3,
,40,2340,5,25,2340,N/A,N/A,
,n28,706,5,25,761,N/A,N/A,
DC_8A_n40A-n41ADC_8A_n40A-n41C,8,895,5,25,940,N/A,N/A,
,n40,2355,10,50,2355,4.9,IMD5,
,n41,N/A,10,N/A,2520,N/A,N/A,
DC_8_n40-n71,8,882.5,5,25,927.5,N/A,N/A,
,n40,2395,10,50,2395,N/A,N/A,
,n71,N/A,5,N/A,632.5,17,IMD3,
,8,912.5,5,25,957.5,N/A,N/A,
,n40,N/A,10,N/A,2305,18,IMD3,
,n71,695,5,25,649,N/A,NA,
DC_28A_n40A-n77A,8,910,5,25,955,N/A,N/A,
DC_28C_n40A-n77A,n40,N/A,10,N/A,2395,28,IMD21,
,n77,3305,10,50,3305,N/A,N/A,
,8,910,5,25,955,N/A,N/A,
,n40,2395,10,50,2395,N/A,N/A,
,n77,N/A,10,N/A,3305,28.8,IMD21,
DC_8A-40A_n78ADC_8A-40C_n78A,8,N/A,5,N/A,950,30.5,IMD2,
,40,2380,5,25,2380,N/A,N/A,
,n78,3330,10,50,3330,N/A,N/A,
,8,N/A,5,N/A,935,19.8,IMD3,
,40,2320,5,25,2320,N/A,N/A,
,n78,3705,10,50,3705,N/A,N/A,
,8,910,5,25,955,N/A,N/A,
,40,N/A,5,N/A,2395,28,IMD2,
,n78,3305,10,50,3305,N/A,N/A,
DC_8A_n40A-n78A,8,910,5,25,955,N/A,N/A,
,n40,2395,10,50,2395,N/A,N/A,
,n78,3305,10,50,3307.5,28.7,IMD21,
,8,910,5,25,955,N/A,N/A,
,n40,2395,10,50,2395,27.3,IMD2,
,n78,3305,10,50,3305,N/A,N/A,
DC_8A_n40A-n79A,8,885,5,25,930,N/A,N/A,
,n40,2305,10,50,2305,N/A,N/A,
,n79,N/A,40,N/A,4960,10.7,IMD4,
,8,885,5,25,930,N/A,N/A,
,n40,N/A,10,N/A,2305,9.2,IMD4,
,n79,4960,40,216,4960,N/A,N/A,
DC_8A-41A_n1A,41,2500,5,25,2500,N/A,N/A,
DC_8A-41C_n1A,n1,1977,5,25,2167,N/A,N/A,
,8,N/A,5,N/A,931,4.5,IMD5,
DC_8A-41A_n3A,n3,1780,5,25,1875,N/A,N/A,
DC_8A-41C_n3A,8,885,5,25,930,N/A,N/A,
,41,N/A,5,N/A,2665,27.4,IMD21,
,n3,1715,5,25,1810,N/A,N/A,
,8,N/A,5,N/A,950,28.9,IMD21,
,41,2665,5,25,2665,N/A,N/A,
DC_8A-41A_n77A,8,N/A,5,N/A,950,29.1,"IMD21, 4",
DC_8A-41C_n77A,41,2630,10,50,2630,N/A,N/A,
,n77,3580,10,50,3580,N/A,N/A,
,8,895,5,25,940,N/A,N/A,
,41,N/A,5,N/A,2650,28.0,IMD2,
,n77,3545,10,50,3545,N/A,N/A,
DC_8A-41A_n78A,8,N/A,5,N/A,950,29.1,IMD24,
DC_8A-41C_n78A,41,2630,5,25,2630,N/A,N/A,
,n78,3580,10,50,3580,N/A,N/A,
,8,895,5,25,940,N/A,N/A,
,41,N/A,5,N/A,2650,28.0,IMD2,
,n78,3545,10,50,3545,N/A,N/A,
DC_8A_n41A-n78A,8,900,5,25,945,N/A,N/A,
,n41,2555,10,50,2555,N/A,N/A,
,n78,N/A,10,N/A,3455,27,IMD21,
,8,895,5,25,940,N/A,N/A,
,n41,N/A,10,N/A,2650,26,IMD2,
,n78,3545,10,50,3545,N/A,N/A,
DC_8A_n41A-n79A,8,910,5,25,955,N/A,N/A,
,n41,2650,10,50,2650,N/A,N/A,
,n79,N/A,40,N/A,4470,16.3,IMD3,
,8,910,5,25,955,N/A,N/A,
,n41,N/A,10,N/A,2650,15.5,IMD3,
,n79,4470,40,216,4470,N/A,N/A,
DC_8A-42A_n1A,42,3405,10,50,3405,N/A,N/A,
DC_8A-42C_n1A,n1,1955,5,25,2145,N/A,N/A,
,8,N/A,5,N/A,945,3.3,IMD5,
DC_8A-42A_n3A,8,900,5,25,945,N/A,N/A,
,n3,1740,5,25,1835,N/A,N/A,
,42,N/A,5,N/A,3540,16.3,IMD3,
DC_8A-42A_n28A,8,900,5,25,945,N/A,N/A,
,n28,743,5,25,798,N/A,N/A,
,42,N/A,5,N/A,3443,8.7,IMD4,
DC_8A-42A_n79A,8,900,5,25,945,N/A,N/A,
,n79,4470,40,216,4470,N/A,N/A,
,42,N/A,5,N/A,3570,34.8,IMD2,
DC_8A_n71A-n77A,8,910,5,25,955,N/A,N/A,
,n71,674,5,25,628,N/A,N/A,
,n77,N/A,10,N/A,3404,10.3,IMD4,
,8,910,5,25,955,N/A,N/A,
,n71,674,5,25,628,N/A,N/A,
,n77,N/A,10,N/A,3606,4,IMD5,
,8,900,5,25,945,N/A,N/A,
,n71,N/A,5,N/A,634.5,11.6,IMD4,
,n77,3334.5,10,50,3334.5,N/A,N/A,
,8,882.5,5,25,927.5,N/A,N/A,
,n71,N/A,5,N/A,640,14.49,IMD5,
,n77,4170,10,50,4170,N/A,N/A,
DC_8A_SUL_n78A-n80A,n80,1755,10,50,N/A,N/A,N/A,
,8,N/A,5,N/A,945,8,IMD4,
,n80,1750,10,50,N/A,N/A,N/A,
,8,900,5,25,945,N/A,N/A,
,n78,N/A,10,N/A,3550,8,IMD33,
DC_11A_n1A-n3A,11,1430,5,25,1478,N/A,N/A,
,n1,N/A,5,N/A,2130,17.7,IMD3,
,n3,1780,5,25,1875,N/A,N/A,
DC_11A_n1A-n77ADC_11A_n1A-n77(2A),11,1435,5,25,1483,N/A,N/A,
,n1,1940,5,25,2130,N/A,N/A,
,n77,N/A,10,N/A,3375,29.6,IMD21,
,11,1438,5,25,1486,N/A,N/A,
,n77,3578,10,50,3578,N/A,N/A,
,n1,N/A,5,N/A,2140,30.8,IMD21,
DC_11A_n3A-n28A,11,1435,5,25,1483,N/A,N/A,
,n3,1753,5,25,1848,N/A,N/A,
,n28,N/A,5,N/A,800,3.0,IMD5,
DC_11A_n3A-n77ADC_11A_n3A-n77(2A),11,1440,5,25,1488,N/A,N/A,
,n3,1740,5,25,1835,N/A,N/A,
,n77,N/A,10,N/A,3780,10.8,IMD4,
,11,1440,5,25,1488,N/A,N/A,
,n3,N/A,5,N/A,1870,29.0,IMD2,
,n77,3310,10,50,3310,N/A,N/A,
DC_11A_n3A-n79A,11,1435,5,25,1483,N/A,N/A,
,n3,1770,5,25,1865,N/A,N/A,
,n79,N/A,40,N/A,4640,16.2,IMD3,
,11,1435,5,25,1483,N/A,N/A,
,n79,4735,40,216,4735,N/A,N/A,
,n3,N/A,5,N/A,1865,17.8,IMD3,
DC_11A-18A_n77A,11,1443,5,25,1491,N/A,N/A,
DC_11A-18A_n77(2A),n77,3706,10,50,3706,N/A,N/A,
,18,N/A,5,N/A,865,18.7,IMD3,
DC_11A-18A_n78A,11,1443,5,25,1491,N/A,N/A,
DC_11A-18A_n78(2A),n78,3706,10,50,3706,N/A,N/A,
,18,N/A,5,N/A,865,18.7,IMD3,
DC_11A_n28A-n77ADC_11A_n28A-n77(2A),11,1443,5,25,1491,N/A,N/A,
,n28,743,5,25,798,N/A,N/A,
,n77,N/A,10,N/A,3629,17.5,IMD3,
,11,1443,5,25,1491,N/A,N/A,
,n77,3684,10,50,3684,N/A,N/A,
,n28,N/A,5,N/A,798,15.8,IMD3,
DC_12A_n2A-n7A,12,713.5,5,25,743.5,N/A,N/A,
,n2,1907.5,5,25,1987.5,N/A,N/A,
,n7,N/A,5,N/A,2622.5,30.8,IMD2,
DC_12A_n2A-n38A,12,708,5,25,738,N/A,N/A,
,n2,1900,5,25,1980,N/A,N/A,
,n38,N/A,10,N/A,2608,28.7,IMD2,
DC_12A_n2A-n41A,12,708,5,25,738,N/A,N/A,
,n2,1900,5,25,1980,N/A,N/A,
,n41,N/A,10,N/A,2608,26.7,IMD2,
DC_12A_n2A-n66A,12,713.5,5,25,743.5,N/A,N/A,
,n2,1907.5,5,25,1987.5,2,IMD4,
,n66,1712.5,5,25,2112.5,N/A,N/A,
DC_12A_n2A-n77A,12,707.5,5,25,737.5,N/A,N/A,
,n2,1880,5,25,1960,16.5,IMD3,
,n77,3375,10,50,3375,N/A,N/A,
,12,710,5,25,740,N/A,N/A,
,n2,1890,5,25,1970,12,IMD4,
,n77,4100,10,50,4100,N/A,N/A,
,12,707.5,5,25,737.5,N/A,N/A,
,n2,1900,5,25,1980,N/A,N/A,
,n77,3315,10,50,3315,16.0,"IMD34,",
,12,710,5,25,740,N/A,N/A,
,n2,1870,5,25,1950,N/A,N/A,
,n77,4000,10,50,4000,12,IMD4,
DC_12_n2-n78,12,707.5,5,25,737.5,N/A,N/A,
,n2,N/A,5,N/A,1960,16.5,IMD3,
,n78,3375,10,50,3375,N/A,N/A,
,12,707.5,5,25,737.5,N/A,N/A,
,n2,1900,5,25,1980,N/A,N/A,
,n78,N/A,10,N/A,3315,16.0,IMD3,
DC_12A_n7A-n25A,12,713.5,5,25,743.5,N/A,N/A,
,n7,N/A,5,N/A,2626,30.8,IMD2,
,n25,1912.5,5,25,1992.5,N/A,N/A,
DC_12A_n7A-n77A,12,708,5,25,738,N/A,N/A,
,n7,N/A,5,N/A,2662,29.6,IMD2,
,n77,3370,10,50,3370,N/A,N/A,
,12,708,5,25,738,N/A,N/A,
,n7,N/A,5,N/A,2670,13.2,IMD3,
,n77,4086,10,50,4086,N/A,N/A,
,12,702,5,25,732,N/A,N/A,
,n7,2505,5,25,2625,N/A,N/A,
,n77,N/A,10,N/A,3909,16.0,IMD3,
,12,673,5,25,732,N/A,N/A,
,n7,2505,5,25,2625,N/A,N/A,
,n77,N/A,10,N/A,3664,10.3,IMD4,
DC_12A_n7A-n78ADC_12A_n7(2A)-n78ADC_12A_n7A-n78(2A)DC_12A_n7(2A)-n78(2A),12,708,5,25,738,N/A,N/A,
,n7,2520,5,25,2640,N/A,N/A,
,n78,N/A,10,N/A,3624,9,IMD4,
,12,708,5,25,738,N/A,N/A,
,n78,3370,10,50,3370,N/A,N/A,
,n7,N/A,5,N/A,2662,29.6,IMD2,
DC_12A_n25A-n41A,12,708,5,25,738,N/A,N/A,
,n25,1900,5,25,1980,N/A,N/A,
,n41,N/A,10,N/A,2608,26.7,IMD2,
,12,710,5,25,740,N/A,N/A,
,n25,N/A,5,N/A,1970,26,IMD2,
,n41,2680,10,50,2680,N/A,N/A,
DC_12A_n25A-n77A,12,707.5,5,25,737.5,N/A,N/A,
,n25,N/A,5,N/A,1960,16.5,IMD3,
,n77,3375,10,50,3375,N/A,N/A,
,12,710,5,25,740,N/A,N/A,
,n25,N/A,5,N/A,1970,12.5,IMD4,
,n77,4100,10,50,4100,N/A,N/A,
,12,707.5,5,25,737.5,N/A,N/A,
,n25,1900,5,25,1980,N/A,N/A,
,n77,N/A,10,N/A,3315,16.0,IMD3,
,12,710,5,25,740,N/A,N/A,
,n25,1870,5,25,1950,N/A,N/A,
,n77,N/A,10,N/A,4000,12,IMD4,
DC_12A-30A_n2A,12,708.5,5,25,738.5,N/A,N/A,
,30,N/A,5,N/A,2353,12.0,IMD4,
,n2,1885,5,25,1965,N/A,N/A,
DC_12A-30A_n5A,12,702,5,25,732,N/A,N/A,
,30,N/A,5,N/A,2355,18.8,IMD3,
,n5,826.5,5,25,871.5,N/A,N/A,
DC_12A-30A_n77ADC_12A-30A_n77(2A),12,N/A,5,N/A,740,15.2,IMD34,
,30,2310,5,25,2355,N/A,N/A,
,n77,3880,10,50,3880,N/A,N/A,
,12,707.5,5,25,737.5,N/A,N/A,
,30,N/A,5,N/A,2355,13.2,IMD3,
,n77,3770,10,50,3770,N/A,N/A,
DC_12A_n41A-n66A,12,713.5,5,25,743.5,N/A,N/A,
,n41,2501,10,50,2501,20.0,IMD218,
,n66,1777.5,5,25,2177.5,N/A,N/A,
DC_12A-66A_n5ADC_12A-66A-66A_n5A,12,N/A,5,N/A,742,9.4,IMD4,
,66,1745,5,25,2145,N/A,N/A,
,n5,829,5,25,874,N/A,N/A,
DC_12A-66A_n7A,12,N/A,5,N/A,742,31,IMD2,
,66,1773,5,25,2173,N/A,N/A,
,n7,2515,5,25,2635,N/A,N/A,
DC_12A-66A_n25A,12,708.5,5,25,738.5,N/A,N/A,
,66,1775,5,25,2175,N/A,N/A,
,n25,N/A,5,N/A,1935,20,IMD3,
,12,708.5,5,25,738.5,N/A,N/A,
,66,N/A,5,N/A,2112.5,23,IMD34,
,n25,1912.5,5,25,1992.5,N/A,N/A,
DC_12A-66A_n41A,12,N/A,5,N/A,742,29.5,IMD2,
,66,1773,5,25,2173,N/A,N/A,
,n41,2515,10,50,2515,N/A,N/A,
DC_12A-66A_n77ADC_12A-66A_n77(2A),12,N/A,5,N/A,740,15.2,IMD311,
DC_12A-66A-66A_n77A,66,1720,5,25,2120,N/A,N/A,
DC_12A-66A-66A_n77(2A),n77,4180,10,50,4180,N/A,N/A,
,12,707,5,25,737,N/A,N/A,
,66,N/A,5,N/A,2126,13.2,IMD3,
,n77,3540,10,50,3540,N/A,N/A,
DC_12A_n66A-n77A,12,707,5,25,737,N/A,N/A,
,n66,1726,5,25,2126,13.2,IMD3,
,n77,3540,10,50,3540,N/A,N/A,
,12,704,5,25,734,N/A,N/A,
,n66,1723,5,25,2123,N/A,N/A,
,n77,4150,10,50,4150,16.0,"IMD32,4",
,12,709,5,25,739,N/A,N/A,
,n66,1715,5,25,2115,N/A,N/A,
,n77,3842,10,50,3842,9,IMD4,
DC_12A-66A_n78A,12,710,5,25,740,N/A,N/A,
,66,N/A,5,N/A,2160,17.1,IMD3,
,n78,3580,5,25,3580,N/A,N/A,
DC_12A_n66A-n78ADC_12A_n66(2A)-n78ADC_12A_n66A-n78(2A)DC_12A_n66(2A)-n78(2A),12,703,5,25,733,N/A,N/A,
,n66,N/A,5,N/A,2140,16.5,IMD3,
,n78,3546,10,50,3546,N/A,N/A,
,12,703,5,25,733,N/A,N/A,
,n66,1720,5,25,2120,N/A,N/A,
,n78,N/A,10,N/A,3754,4.1,IMD5,
DC_13A_n2A-n77A,13,782,5,25,751,N/A,N/A,
,n2,1896,5,25,1976,N/A,N/A,
,n77,N/A,10,N/A,3460,17.3,IMD3,
,13,782,5,25,751,N/A,N/A,
,n2,N/A,5,N/A,1960,16.0,IMD3,
,n77,3524,10,50,3524,N/A,N/A,
DC_13A_n5A-n77A11,13,782,5,25,751,N/A,N/A,
,n77,4013,10,50,4013,N/A,N/A,
,n5,N/A,5,N/A,885,4.5,IMD5,
DC_13A_n7A-n78A,13,782,5,25,751,N/A,N/A,
,n78,3432,10,50,3432,N/A,N/A,
,n7,N/A,5,N/A,2650,27.9,IMD2,
,13,749,5,25,780,N/A,N/A,
,n7,2560,5,25,2680,N/A,N/A,
,n78,N/A,10,N/A,3622,9,IMD4,
,13,782,5,25,751,N/A,N/A,
,n7,2530,5,25,2650,N/A,N/A,
,n78,N/A,10,N/A,3312,29.0,IMD2,
DC_13A_n25A-n66A,13,782,5,25,751,N/A,N/A,
,n25,1860,5,25,1940,N/A,N/A,
,n66,N/A,5,N/A,2156,7.2,IMD4,
,13,780,5,25,749,N/A,N/A,
,n25,N/A,5,N/A,1940,6.2,IMD4,
,n66,1750,5,25,2150,N/A,N/A,
DC_13A-46A_n2A5,13,N/A,N/A,N/A,N/A,N/A,N/A,
,46,N/A,N/A,N/A,N/A,N/A,IMD4,
,n2,N/A,N/A,N/A,N/A,N/A,N/A,
DC_13A-46A_n66A5,13,N/A,N/A,N/A,N/A,N/A,N/A,
,46,N/A,N/A,N/A,N/A,N/A,"IMD4,IMD5",
,n66,N/A,N/A,N/A,N/A,N/A,N/A,
DC_13A-46A_n77A5DC_13A-46A-46A_n77A5,13,N/A,N/A,N/A,N/A,N/A,N/A,
,46,N/A,N/A,N/A,N/A,N/A,"IMD3,IMD4,IMD5",
,n77,N/A,N/A,N/A,N/A,N/A,N/A,
DC_13A_n48A-n66A,13,782,5,25,751,N/A,N/A,
,n48,N/A,5,N/A,3584,2.8,IMD5,
,n66,1716,5,25,2116,N/A,N/A,
,13,782,5,25,751,N/A,N/A,
,n48,3695,5,25,3695,N/A,N/A,
,n66,N/A,5,N/A,2131,17.1,IMD3,
DC_13A-66A_n2ADC_13A-66A-66A_n2A,13,782,5,25,751,N/A,N/A,
DC_13A-66B_n2A,66,N/A,5,N/A,2156,7..2,IMD4,
DC_13A-66C_n2A,n2,1860,5,25,1940,N/A,N/A,
DC_13A-66A_n5A,13,N/A,5,N/A,750,9.4,IMD4,
