Band / Channel bandwidth / NRB / Duplex mode,,,,,,,,Source of IMD
NR CA band combination,NR band,UL Fc (MHz),UL/DL BW (MHz),UL LCRB,DL Fc (MHz),MSD (dB),Duplex mode,
,n77,3730,10,50,3730,N/A,TDD,N/A
CA_n40-n78-n79,n40,2350,10,50,2350,N/A,TDD,N/A
,n78,3400,10,50,3400,N/A,TDD,N/A
,n79,N/A,10,N/A,4450,23,TDD,IMD3
,n40,N/A,10,N/A,2350,12,TDD,IMD31
,n78,3400,10,50,3400,N/A,TDD,N/A
,n79,4450,10,50,4450,N/A,TDD,N/A
,n40,N/A,10,N/A,2320,6,TDD,IMD4
,n78,3400,10,50,3400,N/A,TDD,N/A
,n79,4560,10,50,4560,N/A,TDD,N/A
CA_n40-n78-n105,n40,2310,10,50,2310,N/A,TDD,N/A
,n78,3789,10,50,3789,N/A,TDD,N/A
,n105,N/A,5,N/A,648,3.3,FDD,IMD5
,n40,2310,10,50,2310,N/A,TDD,N/A
,n78,N/A,10,N/A,3708,16,TDD,IMD3
,n105,699,5,25,648,N/A,FDD,N/A
,n40,N/A,10,N/A,2310,15.7,TDD,IMD3
,n78,3708,10,50,3708,N/A,TDD,N/A
,n105,699,5,25,648,N/A,FDD,N/A
CA_n41-n66-n77,n41,2600,10,50,2600,N/A,TDD,N/A
,n66,1730,5,25,2130,N/A,FDD,N/A
,n77,N/A,10,N/A,3470,14.6,TDD,"IMD31,2"
,n41,N/A,10,N/A,2670,4.2,TDD,IMD55
,n66,1715,5,25,2115,N/A,FDD,N/A
,n77,4190,10,50,4190,N/A,TDD,N/A
,n41,2640,10,50,2640,N/A,TDD,N/A
,n66,N/A,5,N/A,2160,8.0,FDD,IMD4
,n77,3720,10,50,3720,N/A,TDD,N/A
CA_n41-n66-n78,n41,2560,10,50,2560,N/A,TDD,N/A
,n66,1730,5,25,2130,N/A,FDD,N/A
,n78,N/A,10,N/A,3390,14.6,TDD,IMD31
,n41,2530,10,50,2530,N/A,TDD,N/A
,n66,N/A,5,N/A,2160,8.0,FDD,IMD4
,n78,3610,10,50,3610,N/A,TDD,N/A
CA_n41-n66-n85,n41,2501,10,50,2501,N/A,TDD,N/A
,n66,1770,5,25,2170,N/A,FDD,N/A
,n85,N/A,5,N/A,731,29.5,FDD,IMD21
CA_n41-n70-n78,n41,2655,10,50,2655,N/A,TDD,N/A
,n70,N/A,5,N/A,2000,17.6,FDD,IMD3
,n78,3310,10,50,3310,N/A,TDD,N/A
,n41,2565,10,50,2565,N/A,TDD,N/A
,n70,N/A,5,N/A,2000,8.6,FDD,IMD4
,n78,3565,10,50,3565,N/A,TDD,N/A
,n41,N/A,10,N/A,2480,5.3,TDD,IMD5
,n70,1700,5,25,2000,N/A,FDD,N/A
,n78,3790,10,50,3790,N/A,TDD,N/A
,n41,2545,10,50,2545,N/A,FDD,N/A
,n70,1700,5,25,2000,N/A,FDD,N/A
,n78,N/A,10,N/A,3390,16.1,TDD,IMD3
CA_n41-n71-n77,n41,2615,10,50,2615,N/A,TDD,N/A
,n71,693,5,25,647,N/A,FDD,N/A
,n77,N/A,10,N/A,3308,27.7,TDD,"IMD21,2,5"
,n41,2564,10,50,2564,N/A,TDD,N/A
,n71,693,5,25,647,N/A,FDD,N/A
,n77,N/A,10,N/A,3950,14.8,TDD,IMD31
,n41,N/A,10,N/A,2615,26.7,TDD,IMD25
,n71,693,5,25,647,N/A,FDD,N/A
,n77,3308,10,50,3308,N/A,TDD,N/A
,n41,N/A,10,N/A,2564,13.5,TDD,IMD3
,n71,693,5,25,647,N/A,FDD,N/A
,n77,3950,10,50,3950,N/A,TDD,N/A
,n41,2680,10,50,2680,N/A,TDD,N/A
,n71,N/A,5,N/A,640,29.3,FDD,IMD25
,n77,3320,10,50,3320,N/A,TDD,N/A
CA_n41-n71-n78,n41,2615,10,50,2615,N/A,TDD,N/A
,n71,693,5,25,647,N/A,FDD,N/A
,n78,N/A,10,N/A,3308,27.6,TDD,"IMD21,2"
,n41,N/A,10,N/A,2615,28.7,TDD,IMD2
,n71,693,5,25,647,N/A,FDD,N/A
,n78,3308,10,50,3308,N/A,TDD,N/A
,41,2642,10,50,2642,N/A,TDD,N/A
,n71,N/A,5,N/A,798,29.3,FDD,IMD2
,n78,3440,10,50,3440,N/A,TDD,N/A
CA_n41-n74-n77,n41,2650,10,50,2650,N/A,TDD,N/A
,n74,N/A,5,N/A,1500,29.2,FDD,IMD22
,n77,4150,10,50,4150,NA,TDD,N/A
,n41,2525,10,50,2525,N/A,TDD,N/A
,n74,N/A,5,N/A,1500,15,FDD,IMD3
,n77,3550,10,50,3550,N/A,TDD,N/A
,n41,N/A,10,N/A,2650,28,TDD,IMD2
,n74,1450,5,25,1498,N/A,FDD,N/A
,n77,4100,10,50,4100,N/A,TDD,N/A
,n41,N/A,10,N/A,2518,3,TDD,IMD5
,n74,1454,5,25,1502,N/A,FDD,N/A
,n77,3440,10,50,3440,N/A,TDD,N/A
,n41,2650,10,50,2650,N/A,TDD,N/A
,n74,1450,5,25,1498,N/A,FDD,N/A
,n77,N/A,10,N/A,4100,27,TDD,IMD2
,n41,2525,10,50,2525,N/A,TDD,N/A
,n74,1450,5,25,1498,N/A,FDD,N/A
,n77,N/A,10,N/A,3600,14,TDD,IMD31
CA_n41-n77-n79,n77,3600,10,50,3600,N/A,TDD,N/A
,n79,4600,40,216,4600,N/A,TDD,N/A
,n41,N/A,10,N/A,2600,10.7,TDD,"IMD31,2"
CA_n41-n77-n85,n41,2687,10,50,2687,N/A,TDD,N/A
,n77,3420,10,50,3420,N/A,TDD,N/A
,n85,N/A,5,N/A,733,29.3,FDD,IMD25
,n41,N/A,10,N/A,2 619,27.5,TDD,IMD24.5
,n77,3320,10,50,3320,N/A,TDD,N/A
,n85,701,5,25,731,N/A,FDD,N/A
,n41,2680,10,50,2680,N/A,TDD,N/A
,n77,3393,10,N/A,3393,26.7,TDD,"IMD24,5"
,n85,713,5,25,743,N/A,FDD,N/A
CA_n46-n78-n102,n46,5315,20,100,5315,N/A,TDD,N/A
,n78,3770,10,50,3770,N/A,TDD,N/A
,n102,N/A,40,N/A,5995,N/A12,TDD,IMD4
,n46,N/A,10,N/A,5530,N/A12,TDD,IMD4
,n78,3550,10,50,3550,N/A,TDD,N/A
,n102,6315,40,216,6315,N/A,TDD,N/A
CA_n48-n66-n70,n48,3625,10,50,3625,N/A,TDD,N/A
,n66,N/A,5,N/A,2142.5,2.8,FDD,IMD5
,n70,1702.5,5,25,2002.5,N/A,FDD,N/A
,n48,3645,10,50,3645,N/A,TDD,N/A
,n66,1762.5,5,25,2162.5,N/A,FDD,N/A
,n70,N/A,5,N/A,2002.5,3.1,FDD,IMD5
CA_n48-n66-n71,n48,3552.5,10,50,3552.5,N/A,TDD,N/A
,n66,N/A,5,N/A,2161.5,14.4,FDD,IMD3
,n71,695.5,5,25,649.5,N/A,FDD,N/A
,n48,N/A,10,N/A,3695,5.2,TDD,IMD4
,n66,1712.5,5,25,2112.5,N/A,FDD,N/A
,n71,665.5,5,25,619.5,N/A,FDD,N/A
CA_n48-n70-n71,n48,N/A,10,N/A,3694,9,TDD,IMD41
,n70,1697.5,5,25,1997.5,N/A,FDD,N/A
,n71,665.5,5,25,619.5,N/A,FDD,N/A
CA_n48-n71-n77,n48,N/A,N/A,N/A,N/A,N/A,FDD,N/A
,n71,N/A,N/A,N/A,N/A,N/A,FDD,N/A
,n77,N/A,N/A,N/A,N/A,N/A,FDD,IMD25
,n48,N/A,N/A,N/A,N/A,N/A,FDD,IMD25
,n71,N/A,N/A,N/A,N/A,N/A,FDD,N/A
,n77,N/A,N/A,N/A,N/A,N/A,FDD,N/A
CA_n66-n70-n77,n66,1757.5,5,25,2157.5,N/A,FDD,N/A
,n70,N/A,5,N/A,2007.5,32.1,FDD,"IMD22,1"
,n77,3765,10,50,3765,N/A,TDD,N/A
,n66,N/A,5,N/A,2162.5,29.2,FDD,IMD21
,n70,1702.5,5,25,2002.5,N/A,FDD,N/A
,n77,3865,10,50,3865,N/A,TDD,N/A
CA_n66-n70-n78,n66,1760,5,25,2160,N/A,FDD,N/A
,n70,N/A,5,N/A,2000,32.1,FDD,IMD22
,n78,3760,10,50,3760,N/A,TDD,N/A
,n66,1760,5,25,2160,N/A,FDD,N/A
,n70,N/A,5,N/A,2000,2.1,FDD,IMD5
,n78,3640,10,50,3640,N/A,TDD,N/A
,n66,N/A,5,N/A,2160,5.0,FDD,IMD5
,n70,1700,5,25,2000,N/A,FDD,N/A
,n78,3630,10,50,3630,N/A,TDD,N/A
CA_n66-n71-n77,n66,1720,5,25,2120,N/A,FDD,N/A
,n71,668,5,25,622,N/A,FDD,N/A
,n77,N/A,10,N/A,4108,15.9,TDD,"IMD31,2,5"
,n66,N/A,5,N/A,2150,15.5,FDD,IMD32
,n71,690,5,25,644,N/A,FDD,N/A
,n77,3530,10,50,3530,N/A,TDD,N/A
,n66,1720,5,25,2120,N/A,FDD,N/A
,n71,N/A,5,N/A,640,15.3,FDD,IMD35
,n77,4080,10,50,4080,N/A,TDD,N/A
CA_n66-n71-n78,n66,1720,5,25,2120,N/A,FDD,N/A
,n71,668,5,25,622,N/A,FDD,N/A
,n78,N/A,10,N/A,3724,9,TDD,IMD41
,n66,N/A,5,N/A,2160,15.5,FDD,IMD3
,n71,693,5,25,647,N/A,FDD,N/A
,n78,3546,10,50,3546,N/A,TDD,N/A
CA_n66-n77-n85,n66,1720,5,25,2120,N/A,FDD,N/A
,n77,4180,10,50,4180,N/A,TDD,N/A
,n85,N/A,5,N/A,740,23.5,FDD,IMD35
,n66,N/A,5,N/A,2124,21.4,FDD,IMD3
,n77,3540,10,50,3540,N/A,TDD,N/A
,n85,708,5,25,738,N/A,FDD,N/A
CA_n70-n71-n77,n70,N/A,N/A,N/A,N/A,N/A,FDD,N/A
,n71,N/A,N/A,N/A,N/A,N/A,FDD,N/A
,n77,N/A,N/A,N/A,N/A,N/A,TDD,"IMD31,5"
,n70,1702.5,5,25,2002.5,N/A,FDD,N/A
,n71,680.5,5,25,834.5,N/A,FDD,N/A
,n77,N/A,10,N/A,3745,8.2,TDD,IMD4
,n70,N/A,N/A,N/A,N/A,N/A,FDD,IMD35
,n71,N/A,N/A,N/A,N/A,N/A,FDD,N/A
,n77,N/A,N/A,N/A,N/A,N/A,TDD,N/A
,n70,N/A,N/A,N/A,N/A,N/A,FDD,IMD45
,n71,N/A,N/A,N/A,N/A,N/A,FDD,N/A
,n77,N/A,N/A,N/A,N/A,N/A,TDD,N/A
"NOTE 1:This band is subject to IMD5 also which MSD is not specified.NOTE 2:This band is subject to IMD4 also which MSD is not specified.NOTE 3:The requirements only apply for UEs supporting inter-band carrier aggregation with simultaneous Rx/Tx capability. Simultaneous Rx/Tx capability does not apply for UEs supporting band n78 with a n77 implementation.NOTE 4:This band is subject to IMD3 also which MSD is not specified.NOTE 5:For a UE which supports this band combination only when the Band n77 frequency range restriction defined in NOTE 12 of Table 5.2-1 applies, the MSD test point(s) cannot be verified for the band combination and the test point(s) can be skipped.NOTE 6:Void.NOTE 7:Void.NOTE 8:Both of the transmitters shall be set min(+20 dBm, PCMAX_L,f,c) as defined in clause 6.2A.4NOTE 9:There is no IMD2 product in band n79 downlink for n79 operating in 4800 – 5000 MHz frequency range.NOTE 10:This band supports intra-band non-contiguous uplink configuration.NOTE 11: This MSD requirement applies with both IMD2 and IMD3 products should be generated.NOTE 12: This is a share spectrum access band, hence no MSD is defined.NOTE 13: This band is also subject to a near missed IMD2 that is not specified and is not applicable for band n77 spectrum ranges of 3450-3550MHz and 3700-3980MHz.NOTE 14:This combination only works for non-simultaneous RX/TX. In the case that there is no simultaneous RX/TX also no RX sensitivity section is needed.NOTE 15:This band is subject to IMD6 also which MSD is not specified.",,,,,,,,
